Date,Away,AS,Home,HS,OT,Detail Path,Game Type,Detail Data,Rand
2018-10-20,TOR,117,WAS,113,N,tor-vs-was-0021800027,regular,1,6
2000-10-24,MIN,-,CHH,-,N,min-vs-chh-0010000089,preseason,2,3
2000-12-01,CLE,93,DET,103,N,cle-vs-det-0020000228,regular,1,0
2022-03-28,CHI,104,NYK,109,N,chi-vs-nyk-0022101126,regular,1,7
2006-04-11,MIN,76,MEM,92,N,min-vs-mem-0020501157,regular,1,5
2010-11-03,TOR,108,UTA,125,N,tor-vs-uta-0021000061,regular,1,0
2020-02-26,PHI,94,CLE,108,N,phi-vs-cle-0021900865,regular,1,3
2018-02-09,CHA,94,UTA,106,N,cha-vs-uta-0021700824,regular,1,8
2016-11-26,SAS,112,WAS,100,N,sas-vs-was-0021600240,regular,1,7
1996-03-21,CLE,98,HOU,85,N,cle-vs-hou-0029500954,regular,1,4
1995-06-17,No Games,-,No Games,-,-,-,-,2,9
2006-10-16,UTA,85,DET,90,N,uta-vs-det-0010600047,preseason,1,3
2005-04-05,LAL,99,PHX,125,N,lal-vs-phx-0020401103,regular,1,2
2000-04-10,POR,90,UTA,86,N,por-vs-uta-0029901113,regular,1,3
2012-10-31,HOU,105,DET,96,N,hou-vs-det-0021200006,regular,1,4
2018-03-02,DAL,100,CHI,108,N,dal-vs-chi-0021700930,regular,1,5
2019-01-07,UTA,102,MIL,114,N,uta-vs-mil-0021800594,regular,1,7
1995-11-06,ATL,96,UTH,105,N,atl-vs-uth-0029500029,regular,1,3
2005-02-28,NOH,86,DAL,90,N,noh-vs-dal-0020400832,regular,1,5
2009-02-04,CLE,107,NYK,102,N,cle-vs-nyk-0020800724,regular,1,5
2008-12-15,MIL,98,MIA,83,N,mil-vs-mia-0020800355,regular,1,4
2001-03-10,MIL,90,CHH,100,N,mil-vs-chh-0020000902,regular,1,3
2012-11-06,TOR,88,OKC,108,N,tor-vs-okc-0021200051,regular,1,9
2000-04-07,HOU,119,SEA,116,N,hou-vs-sea-0029901090,regular,1,5
2012-03-10,TOR,86,DET,105,N,tor-vs-det-0021100596,regular,1,1
2021-10-31,UTA,107,MIL,95,N,uta-vs-mil-0022100091,regular,1,9
2013-11-15,CHI,96,TOR,80,N,chi-vs-tor-0021300126,regular,1,3
2006-03-18,POR,93,MIL,97,N,por-vs-mil-0020500977,regular,1,7
2002-11-09,BOS,105,MIN,99,N,bos-vs-min-0020200085,regular,1,9
2009-11-30,MEM,93,UTA,120,N,mem-vs-uta-0020900251,regular,1,6
2010-10-30,CHA,88,MIL,98,N,cha-vs-mil-0021000038,regular,1,9
2008-04-16,NYK,123,IND,132,N,nyk-vs-ind-0020701220,regular,1,6
2011-02-02,CHA,97,DET,87,N,cha-vs-det-0021000722,regular,1,1
2005-12-28,HOU,90,NOK,92,N,hou-vs-nok-0020500409,regular,1,9
2012-12-27,DAL,105,OKC,111,Y,dal-vs-okc-0021200423,regular,1,1
1996-12-03,MIA,99,NYK,75,N,mia-vs-nyk-0029600225,regular,1,3
2021-06-18,UTA,119,LAC,131,N,uta-vs-lac-0042000226,playoffs,1,7
2008-01-26,IND,96,MIA,98,N,ind-vs-mia-0020700638,regular,1,6
2009-04-05,CHA,97,DET,104,N,cha-vs-det-0020801144,regular,1,4
1997-11-15,UTA,85,DAL,77,N,uta-vs-dal-0029700119,regular,1,2
2005-12-10,SAC,123,SEA,104,N,sac-vs-sea-0020500289,regular,1,6
2013-03-06,TOR,98,PHX,71,N,tor-vs-phx-0021200910,regular,1,1
2000-01-12,LAL,103,MIL,94,N,lal-vs-mil-0029900496,regular,1,2
2013-10-24,HOU,109,SAS,92,N,hou-vs-sas-0011300105,preseason,1,5
2018-02-04,LAL,108,OKC,104,N,lal-vs-okc-0021700788,regular,1,1
2023-03-14,NYK,-,POR,-,N,nyk-vs-por-0022201034,regular,0,0
2014-07-19,No Games,-,No Games,-,-,-,-,2,6
2011-01-19,NYK,89,HOU,104,N,nyk-vs-hou-0021000619,regular,1,0
2019-11-10,CHA,106,PHI,114,N,cha-vs-phi-0021900134,regular,1,7
2005-02-12,ORL,99,PHI,112,N,orl-vs-phi-0020400742,regular,1,3
2017-01-13,CLE,120,SAC,108,N,cle-vs-sac-0021600599,regular,1,0
1997-09-26,No Games,-,No Games,-,-,-,-,2,9
2023-01-25,MIN,111,NOP,102,N,min-vs-nop-0022200724,regular,1,4
2016-02-28,TOR,101,DET,114,N,tor-vs-det-0021500879,regular,1,4
2007-04-29,PHX,113,LAL,100,N,phx-vs-lal-0040600154,playoffs,1,2
2017-12-06,CHI,96,IND,98,N,chi-vs-ind-0021700354,regular,1,0
1997-08-22,No Games,-,No Games,-,-,-,-,2,6
2017-01-15,OKC,122,SAC,118,N,okc-vs-sac-0021600610,regular,1,0
2010-03-21,HOU,116,NYK,112,N,hou-vs-nyk-0020901036,regular,1,7
1996-04-09,LAL,91,DEN,98,N,lal-vs-den-0029501096,regular,1,4
2018-03-27,DAL,103,SAC,97,N,dal-vs-sac-0021701113,regular,1,4
2014-12-17,DAL,117,DET,106,N,dal-vs-det-0021400372,regular,1,3
2001-11-24,MIA,96,CLE,100,Y,mia-vs-cle-0020100182,regular,1,7
2003-04-16,DET,92,BOS,99,N,det-vs-bos-0020201177,regular,1,3
1996-03-24,SEA,112,SAC,110,N,sea-vs-sac-0029500973,regular,1,6
2001-02-28,VAN,83,UTA,101,N,van-vs-uta-0020000829,regular,1,6
2006-11-30,UTA,102,LAL,132,N,uta-vs-lal-0020600223,regular,1,6
1996-04-05,NYK,86,MIL,79,N,nyk-vs-mil-0029501060,regular,1,1
2021-11-23,DEN,100,POR,119,N,den-vs-por-0022100265,regular,1,3
2008-04-25,DET,75,PHI,95,N,det-vs-phi-0040700113,playoffs,1,8
2004-01-18,SAS,109,BOS,92,N,sas-vs-bos-0020300576,regular,1,5
2000-04-08,TOR,98,CHI,79,N,tor-vs-chi-0029901093,regular,1,4
2008-02-19,BOS,118,DEN,124,N,bos-vs-den-0020700785,regular,1,0
2017-11-24,CHI,94,GSW,143,N,chi-vs-gsw-0021700276,regular,1,8
2015-01-09,DEN,118,SAC,108,N,den-vs-sac-0021400546,regular,1,7
2005-03-26,BOS,99,DET,105,Y,bos-vs-det-0020401026,regular,1,9
2013-01-05,UTA,91,DEN,110,N,uta-vs-den-0021200497,regular,1,1
2021-03-11,DAL,108,OKC,116,N,dal-vs-okc-0022000575,regular,1,3
1998-02-10,DAL,81,NJN,90,N,dal-vs-njn-0029700683,regular,1,7
2009-01-02,MIA,76,ORL,86,N,mia-vs-orl-0020800473,regular,1,0
2010-02-24,DET,91,LAC,97,N,det-vs-lac-0020900855,regular,1,6
2005-03-06,TOR,95,NOH,84,N,tor-vs-noh-0020400875,regular,1,4
2022-10-09,NOP,111,SAS,97,N,nop-vs-sas-0012200039,preseason,1,8
2013-01-15,IND,103,CHA,76,N,ind-vs-cha-0021200565,regular,1,1
2018-10-05,DET,93,SAS,117,Y,det-vs-sas-0011800035,preseason,2,7
2003-03-07,PHI,108,SEA,99,N,phi-vs-sea-0020200891,regular,1,8
2018-10-20,DET,118,CHI,116,N,det-vs-chi-0021800031,regular,1,0
2002-03-02,HOU,104,PHX,97,N,hou-vs-phx-0020100836,regular,1,6
2019-03-17,TOR,107,DET,110,N,tor-vs-det-0021801044,regular,1,5
2015-04-07,CHA,100,MIA,105,N,cha-vs-mia-0021401155,regular,1,6
2022-12-27,PHX,125,MEM,108,N,phx-vs-mem-0022200510,regular,1,1
2014-11-09,ORL,96,BKN,104,N,orl-vs-bkn-0021400090,regular,1,4
2010-10-12,SAS,100,LAC,99,N,sas-vs-lac-0011000052,preseason,1,6
2000-10-31,CLE,86,NJN,82,N,cle-vs-njn-0020000002,regular,1,8
2004-12-10,POR,87,UTA,92,Y,por-vs-uta-0020400285,regular,1,3
2011-03-23,MIA,100,DET,94,N,mia-vs-det-0021001058,regular,1,1
2018-11-10,HOU,89,SAS,96,N,hou-vs-sas-0021800180,regular,1,0
1996-02-10,No Games,-,No Games,-,-,-,-,2,5
2008-06-19,No Games,-,No Games,-,-,-,-,2,1
2023-03-03,NYK,122,MIA,120,N,nyk-vs-mia-0022200949,regular,1,3
2022-11-03,GSW,129,ORL,130,N,gsw-vs-orl-0022200118,regular,1,3
1997-10-18,UTA,-,IND,-,N,uta-vs-ind-0019700055,preseason,2,0
2001-03-30,NYK,79,POR,96,N,nyk-vs-por-0020001046,regular,1,7
2016-11-19,DAL,87,ORL,95,N,dal-vs-orl-0021600187,regular,1,9
2016-01-27,HOU,99,SAS,130,N,hou-vs-sas-0021500689,regular,1,6
