Date,Detail Path,Action Number,Clock,Period,Team ID,Team Tricode,Person Id,Player Name,Player Init,xLegacy,yLegacy,Shot Distance,Shot Result,Field Goal,Score Home,Score Away,Points Total,Location,Description,Action Type,Sub-Type,Video Available,Action Id
2023-01-24,chi-vs-ind-0022200713,460.0,PT01M50.00S,3.0,0.0,,1610612741.0,,,0.0,0.0,0.0,,0.0,,,0.0,v,Bulls Rebound,Rebound,Unknown,1.0,349.0
2022-11-19,min-vs-phi-0022200237,531.0,PT10M12.00S,4.0,1610612750.0,MIN,1629669.0,Nowell,J. Nowell,-138.0,215.0,26.0,Made,1.0,90.0,103.0,193.0,v,Nowell 26' 3PT Jump Shot (13 PTS) (Gobert 1 AST),Made Shot,Jump Shot,1.0,375.0
2022-12-28,phx-vs-was-0022200516,448.0,PT01M32.00S,3.0,1610612756.0,PHX,101108.0,Paul,C. Paul,0.0,0.0,0.0,,0.0,,,0.0,v,SUB: Washington Jr. FOR Paul,Substitution,,0.0,310.0
2022-12-05,mil-vs-orl-0022200353,75.0,PT07M55.00S,1.0,1610612749.0,MIL,203507.0,Antetokounmpo,G. Antetokounmpo,0.0,0.0,0.0,,0.0,13.0,9.0,22.0,v,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,1.0,52.0
2023-01-13,phx-vs-min-0022200637,158.0,PT10M44.00S,2.0,1610612756.0,PHX,1630688.0,Wainright,I. Wainright,229.0,42.0,0.0,Made,1.0,38.0,28.0,66.0,v,Wainright 3PT Jump Shot (3 PTS) (Okogie 1 AST),Made Shot,Jump Shot,1.0,112.0
2023-03-10,bkn-vs-min-0022201001,341.0,PT00M00.10S,2.0,0.0,,1610612750.0,,,0.0,0.0,0.0,,0.0,,,0.0,h,TIMBERWOLVES Rebound,Rebound,Unknown,0.0,248.0
2022-11-12,por-vs-dal-0022200190,504.0,PT10M12.00S,4.0,1610612742.0,DAL,1626174.0,Wood,C. Wood,0.0,0.0,0.0,,0.0,,,0.0,h,SUB: Finney-Smith FOR Wood,Substitution,,0.0,375.0
2023-02-01,gsw-vs-min-0022200774,18.0,PT11M06.00S,1.0,1610612744.0,GSW,202691.0,Thompson,K. Thompson,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,v,Thompson Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1.0,9.0
2023-02-03,sac-vs-ind-0022200786,130.0,PT02M17.00S,1.0,1610612758.0,SAC,203084.0,Barnes,H. Barnes,0.0,0.0,0.0,,0.0,,,0.0,v,SUB: Lyles FOR Barnes,Substitution,,0.0,103.0
2023-02-15,det-vs-bos-0022200877,540.0,PT04M58.00S,4.0,1610612738.0,BOS,201143.0,Horford,A. Horford,0.0,0.0,0.0,,0.0,,,0.0,h,Horford REBOUND (Off:2 Def:5),Rebound,Unknown,1.0,397.0
2022-12-10,sas-vs-mia-0022200387,460.0,PT03M03.00S,3.0,1610612748.0,MIA,202710.0,Butler,J. Butler,0.0,0.0,0.0,,0.0,,,0.0,h,SUB: Lowry FOR Butler,Substitution,,0.0,332.0
2022-10-23,sac-vs-gsw-0022200042,624.0,PT07M33.00S,4.0,1610612758.0,SAC,1630558.0,Mitchell,D. Mitchell,0.0,0.0,0.0,,0.0,,,0.0,v,SUB: Monk FOR Mitchell,Substitution,,0.0,449.0
2022-12-03,sac-vs-lac-0022200338,309.0,PT03M15.00S,2.0,1610612758.0,SAC,1627734.0,Sabonis,D. Sabonis,0.0,0.0,0.0,,0.0,,,0.0,v,Sabonis L.B.FOUL (P3.T4) (R.Acosta),Foul,Loose Ball,1.0,231.0
2023-01-03,bos-vs-okc-0022200562,397.0,PT07M47.00S,3.0,1610612738.0,BOS,1627759.0,Brown,J. Brown,20.0,0.0,2.0,Made,1.0,90.0,67.0,157.0,v,Brown 2' Driving Layup (27 PTS) (Horford 1 AST),Made Shot,Driving Layup Shot,1.0,290.0
2023-01-24,den-vs-nop-0022200716,159.0,PT10M59.00S,2.0,1610612743.0,DEN,1628427.0,Cancar,V. Cancar,-232.0,-20.0,0.0,Missed,1.0,,,0.0,v,MISS Cancar 3PT Jump Shot,Missed Shot,Jump Shot,1.0,117.0
2023-03-11,okc-vs-nop-0022201011,66.0,PT07M04.00S,1.0,1610612760.0,OKC,1630581.0,Giddey,J. Giddey,0.0,0.0,0.0,,0.0,,,0.0,v,MISS Giddey Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1.0,49.0
2022-11-20,nyk-vs-phx-0022200240,119.0,PT02M48.00S,1.0,1610612756.0,PHX,1628969.0,Bridges,M. Bridges,169.0,199.0,26.0,Missed,1.0,,,0.0,h,MISS Bridges 26' 3PT Jump Shot,Missed Shot,Jump Shot,1.0,93.0
2023-01-23,bos-vs-orl-0022200707,614.0,PT01M18.00S,4.0,1610612738.0,BOS,1630202.0,Pritchard,P. Pritchard,-33.0,10.0,3.0,Missed,1.0,,,0.0,v,MISS Pritchard 3' Driving Layup,Missed Shot,Driving Layup Shot,1.0,445.0
2022-10-29,okc-vs-dal-0022200086,320.0,PT02M42.00S,2.0,1610612760.0,OKC,1630526.0,Robinson-Earl,J. Robinson-Earl,0.0,0.0,0.0,,0.0,,,0.0,v,SUB: Bazley FOR Robinson-Earl,Substitution,,0.0,215.0
2022-12-09,phx-vs-nop-0022200384,507.0,PT00M00.00S,3.0,1610612756.0,PHX,1626166.0,Payne,C. Payne,-221.0,3.0,0.0,Missed,1.0,,,0.0,v,MISS Payne 3PT Jump Shot,Missed Shot,Jump Shot,1.0,355.0
2022-11-25,was-vs-mia-0022200277,493.0,PT00M00.00S,3.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,85.0,85.0,170.0,,End of 3rd Period (9:49 PM EST),period,end,1.0,357.0
2023-01-11,mil-vs-atl-0022200620,620.0,PT01M09.00S,4.0,1610612749.0,MIL,1626192.0,Connaughton,P. Connaughton,0.0,0.0,0.0,,0.0,,,0.0,v,Connaughton REBOUND (Off:4 Def:3),Rebound,Unknown,1.0,452.0
2023-01-21,ind-vs-phx-0022200697,338.0,PT00M38.30S,2.0,1610612756.0,PHX,1630688.0,Wainright,I. Wainright,0.0,0.0,0.0,,0.0,,,0.0,h,SUB: D. Lee FOR Wainright,Substitution,,0.0,244.0
2022-12-09,nyk-vs-cha-0022200377,389.0,PT10M26.00S,3.0,1610612752.0,NYK,1628973.0,Brunson,J. Brunson,0.0,0.0,0.0,,0.0,52.0,63.0,115.0,v,Brunson Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,1.0,288.0
2022-12-31,phi-vs-okc-0022200545,628.0,PT06M15.00S,4.0,1610612760.0,OKC,1629026.0,Williams,K. Williams,-219.0,117.0,25.0,Missed,1.0,,,0.0,h,MISS K. Williams 25' 3PT Jump Shot,Missed Shot,Jump Shot,1.0,459.0
